Block,Borough,OBJECTID,the_geom,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_SiteTy,LPC_SiteSt,LPC_Altern,DesDate,LandmarkTy,URL_REPORT,Shape_Leng,Shape_Area
40,MN,611,"MULTIPOLYGON (((-74.00887307463249 40.70654661546316, -74.00884373887202 40.70653064625183, -74.00910079434131 40.70624536313137, -74.00939713771102 40.70640668303899, -74.00911564006742 40.70671909305464, -74.00898793007823 40.706642867610654, -74.00900632344137 40.706622451581374, -74.00887307463249 40.70654661546316)))",14,48 Wall Street,1000400014,Bank of New York & Trust Company Building,LP-02025,"Borough of Manhattan Tax Map Block 40, Lot 14.",Block and Lot,Designated,,10/13/1998 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2025.pdf,475.204127975,13244.575696
162,MN,612,"MULTIPOLYGON (((-73.99734705180745 40.714566418153716, -73.9977081926905 40.71464047757886, -73.99765619313773 40.714706472234816, -73.99729876926551 40.71463214708394, -73.99734705180745 40.714566418153716)))",53,18 Bowery,1001620053,Edward Mooney House,LP-00084,"Borough of Manhattan Tax Map Block 162, Lot 53.",Block and Lot,Designated,,08/23/1966 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0084.pdf,261.874212019,2765.67988009
569,MN,613,"MULTIPOLYGON (((-73.99420580536535 40.73420924392536, -73.99426767220402 40.734124550644, -73.99436533052145 40.73416603916514, -73.99437268883499 40.73415596824374, -73.99469173617702 40.73429151074299, -73.99462224033604 40.7343861599101, -73.99420580536535 40.73420924392536)))",4,47 Fifth Avenue,1005690004,Irad Hawley House,LP-00009,"Borough of Manhattan Tax Map Block 569, Lot 4",Block and Lot,Designated,now the Salmagundi Club,09/09/1969 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0009.pdf,343.460548715,5092.76691247
1948,MN,614,"MULTIPOLYGON (((-73.95342278499687 40.80850976796171, -73.95360207285275 40.80825962065526, -73.95368205837516 40.80829321708403, -73.9537561235445 40.80832433201116, -73.9535768349068 40.8085744813551, -73.95342278499687 40.80850976796171)))",41,308 West 122nd Street,1019480041,Mount Olive Fire Baptized Holiness Church,LP-02320,"Borough of Manhattan Tax Map Block 1948, Lot 41.",Block and Lot,Designated,formerly the Second Reformed Presbyterian Church,06/23/2009 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2320.pdf,305.010659775,5056.84635561
2241,MN,615,"MULTIPOLYGON (((-73.92248480545916 40.86738649013256, -73.92305320407019 40.8671836850641, -73.92325282051512 40.867491581823224, -73.92292213683024 40.867609542516036, -73.92296395985274 40.86767507473262, -73.92272368187395 40.86776080183045, -73.92248480545916 40.86738649013256)))",35,Broadway at West 204th Street,1022410035,Dyckman House,LP-00309,"Borough of Manhattan Tax Map Block 2241, Lot 35.",Block and Lot,Designated,now the Dyckman Farmhouse Musem,07/12/1967 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0309.pdf,651.2935243,23710.6125632
1304,MN,616,"MULTIPOLYGON (((-73.97253121158987 40.756476371331885, -73.97288428700475 40.755990047099004, -73.97416476665131 40.75653009249984, -73.97381169772274 40.757016420619166, -73.97253121158987 40.756476371331885)))",1,301 Park Avenue,1013040001,Waldorf-Astoria Hotel,LP-01812,"Borough of Manhattan Tax Map Block 1304, Lot 1.",Block and Lot,Designated,,01/05/1993 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1812.pdf,1216.11022073,82102.8144956
1727,MN,617,"MULTIPOLYGON (((-73.94121837103248 40.810027213471855, -73.94139453232847 40.80978411378168, -73.94144103770185 40.80980370883513, -73.94147530246654 40.80981814680843, -73.94129913545281 40.810061243015674, -73.94121837103248 40.810027213471855)))",50,26 West 130th Street,1017270050,26 West 130th Street House,LP-01146,"Borough of Manhattan, Tax Map Block 1727, Lot 50.",Block and Lot,Designated,part of Astor Row,08/11/1981 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1146.pdf,253.346563583,2584.90302349
1939,MN,618,"MULTIPOLYGON (((-73.94496116713084 40.814870621180766, -73.94514163122945 40.81462608622019, -73.94510221147732 40.814609502811216, -73.94528666360276 40.8143595647281, -73.9456055920414 40.81449426612998, -73.94542144331817 40.81474379333387, -73.94537491907943 40.81472422240742, -73.94519445557044 40.814968759530196, -73.94496116713084 40.814870621180766)))",40,214 West 134th Street,1019390040,Saint Philip's Protestant Episcopal Church,LP-01846,"Borough of Manhattan Tax Map Block 1939, Lot 40.",Block and Lot,Designated,,07/13/1993 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1846.pdf,614.919301604,18075.2841359
1385,MN,619,"MULTIPOLYGON (((-73.9665098800537 40.77093366226338, -73.96642224383072 40.77089669181003, -73.96660372397407 40.77064753477118, -73.96669987334917 40.77068809515386, -73.96651839227015 40.770937253242735, -73.9665098800537 40.77093366226338)))",15,19 East 70th Street,1013850015,Dave Hennen and Alice Morris House,LP-00849,"Borough of Manhattan Tax Map Block 1385, Lot 15.",Block and Lot,Designated,now Knoedler & Company,07/23/1974 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0849.pdf,268.444547842,3160.39154204
2085,MN,620,"MULTIPOLYGON (((-73.94480954741623 40.83217902907998, -73.9449493474319 40.831988151416134, -73.94478304945619 40.83191823315331, -73.94489835440845 40.83175997323702, -73.94595457201969 40.83220403958791, -73.9457000299607 40.832553414571436, -73.94480954741623 40.83217902907998)))",20,Broadway at West 155th Street,1020850020,Chapel of the Intercession,LP-00306,"Borough of Manhattan Tax Map Block 2085, Lot 20.",Block and Lot,Designated,now the Church of the Intercession Complex,08/16/1966 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0306.pdf,959.295857903,44423.075539
1398,MN,621,"MULTIPOLYGON (((-73.96542168915876 40.764746693186616, -73.96538056629849 40.764729329023424, -73.96556177079836 40.76447979960882, -73.96566201709453 40.76452212891128, -73.96548081048631 40.76477165848128, -73.96542168915876 40.764746693186616)))",27,153 East 63rd Street,1013980027,Cyril and Barbara Rutherford Hatch Residence,LP-00943,"Borough of Manhattan Tax Map Block 1398, Lot 27.",Block and Lot,Designated,,01/11/1977 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0943.pdf,271.226310501,3298.66446439
1931,MN,622,"MULTIPOLYGON (((-73.94947093588509 40.81023797102966, -73.94964458846249 40.80999923047376, -73.94988410473115 40.81009994116218, -73.9500659747973 40.8098499067929, -73.95022183961403 40.809915443993916, -73.9500406533184 40.81016454238484, -73.94986632073255 40.81040421885194, -73.94947093588509 40.81023797102966)))",10,253 West 125th Street,1019310010,Apollo Theater,LP-01299,"Borough of Manhattan Tax Map Block 1931, Lot 10.",Block and Lot,Designated,originally Hurtig & Seamon's New (Burlesque) Theater,06/28/1983 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1299.pdf,657.113692998,17564.5959833
1727,MN,623,"MULTIPOLYGON (((-73.94208636628672 40.8103929424317, -73.94226253841184 40.8101498477396, -73.94234356534169 40.81018398834394, -73.94216739342215 40.810427083158515, -73.94208636628672 40.8103929424317)))",61,48 West 130th Street,1017270061,48 West 130th Street House,LP-01157,"Borough of Manhattan, Tax Map Block 1727, Lot 61.",Block and Lot,Designated,part of Astor Row,08/11/1981 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1157.pdf,253.510581656,2593.20071975
1550,MN,624,"MULTIPOLYGON (((-73.94918294860909 40.778413513152664, -73.94928528321601 40.77827239908995, -73.94936078246168 40.77830427495635, -73.94925844915048 40.77844538908599, -73.94918294860909 40.778413513152664)))",34,332 East 88th Street,1015500034,Parsonage of the Church of the Holy Trinity,LP-00447,"Borough of Manhattan Tax Map Block 1550, Lot 34.",Block and Lot,Designated,,02/15/1967 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0447.pdf,165.251527546,1404.18907834
1491,MN,625,"MULTIPOLYGON (((-73.96116546067508 40.77639211413369, -73.96111204710725 40.77636967991, -73.96130730707253 40.77610339769191, -73.96139163852152 40.77613881663049, -73.96119637878938 40.77640509899015, -73.96116546067508 40.77639211413369)))",28,63 East 79th Street,1014910028,Thatcher and Frances Adams House,LP-01073,"Borough of Manhattan, Tax Map Block 1491, Lot 28.",Block and Lot,Designated,also known as the 63 East 79th Street House,05/19/1981 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1073.pdf,275.509972066,2963.83965688
1727,MN,626,"MULTIPOLYGON (((-73.94090074497204 40.8098933784744, -73.94107689759504 40.80965027655789, -73.941126193994 40.809671047414646, -73.9411540468873 40.80968278341684, -73.94097788972036 40.80992588454704, -73.94090074497204 40.8098933784744)))",46,18 West 130th Street,1017270046,18 West 130th Street House,LP-01142,Too long,Irregular,Designated,part of Astor Row,08/11/1981 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1142.pdf,251.054830756,2469.0512598
1855,MN,627,"MULTIPOLYGON (((-73.96600370094663 40.7987004266948, -73.96614796634387 40.79850257809892, -73.96614862978414 40.79850285654806, -73.9663265042643 40.79825891291526, -73.96690585047749 40.79850233802604, -73.96655272732005 40.79898662734189, -73.96597271474188 40.798742921124344, -73.96600370094663 40.7987004266948)))",50,891 Amsterdam Avenue,1018550050,Association Residence for Respectable Aged Indigent Females,LP-01280,"Borough of Manhattan Tax Map Block 1855, Lot 50.",Block and Lot,Designated,now a branch of Hostellng International-USA,04/12/1983 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1280.pdf,770.440421595,36994.311679
1289,MN,628,"MULTIPOLYGON (((-73.97475248013535 40.760694839063355, -73.97494118911325 40.760443400841964, -73.97506021026217 40.76049415029503, -73.97497765935294 40.760604145243484, -73.9748719956886 40.76074493234938, -73.97475248013535 40.760694839063355)))",67,4 East 54th Street,1012890067,William H. and Ada S. Moore House,LP-00273,"Borough of Manhattan Tax Map Block 1289, Lot 67.",Block and Lot,Designated,,01/11/1967 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0273.pdf,286.282100111,3981.93207007
1750,MN,629,"MULTIPOLYGON (((-73.93907573590624 40.80538797039576, -73.93917221352805 40.80525634773288, -73.93945744807746 40.80537704943411, -73.93936321388507 40.805509045418894, -73.93907573590624 40.80538797039576)))",34,81-85 East 125th Street,1017500034,Mount Morris Bank Building,LP-01839,"Borough of Manhattan Tax Map Block 1750, Lot 34.",Block and Lot,Designated,,01/05/1993 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1839.pdf,290.980263756,4969.73067811
